År;Kvartal;Inskrivna_arbetslösa_Kvartal;Inskrivna_arbetslösa_R12;Inrikes_födda_arbetslösa_Kvartal;Inrikes_födda_arbetslösa_R12;Utrikes_födda_arbetslösa_Kvartal;Utrikes_födda_arbetslösa_R12;Ungdomar_arbetslösa_Kvartal;Ungdomar_arbetslösa_R12;Långtidsarbetslösa_Kvartal;Långtidsarbetslösa_R12;Inskrivna_arbetslösa_%_Kvartal;Inskrivna_arbetslösa_%_R12;Inrikes_födda_arbetslösa_%_Kvartal;Inrikes_födda_arbetslösa_%_R12;Utrikes_födda_arbetslösa_%_Kvartal;Utrikes_födda_arbetslösa_%_R12;Ungdomar_arbetslösa_%_Kvartal;Ungdomar_arbetslösa_%_R12;Långtidsarbetslösa_%_Kvartal;Långtidsarbetslösa_%_R12;
2020;1;5067;523;2088;191;2979;332;744;165;2141;189;6,4;0,6;3,2;0,2;19,3;0,7;8,2;2,0;42,3;-0,7;
2020;2;5608;1146;2389;596;3219;550;816;245;2188;238;7,0;1,3;3,7;0,9;20,5;1,8;8,9;2,7;39,0;-4,7;
2020;3;6231;1474;2722;745;3509;729;1057;358;2250;213;7,7;1,6;4,2;1,1;21,9;2,6;11,2;3,8;36,1;-6,7;
2020;4;5872;1136;2448;492;3424;644;890;181;2251;191;7,3;1,3;3,8;0,7;21,5;2,2;9,6;2,1;38,3;-5,2;
2021;1;5683;616;2304;216;3379;400;822;78;2401;260;6,9;0,5;3,5;0,3;20,0;0,7;8,9;0,7;42,2;0,0;
2021;2;5408;-200;2069;-320;3339;120;746;-70;2535;347;6,6;-0,4;3,2;-0,5;19,8;-0,7;8,2;-0,7;46,9;7,9;
2021;3;5454;-777;2039;-683;3415;-94;797;-260;2701;451;6,7;-1,0;3,1;-1,1;20,1;-1,8;8,7;-2,5;49,5;13,4;
2021;4;5159;-713;1914;-534;3245;-179;730;-160;2619;368;6,3;-1,0;3,0;-0,8;19,3;-2,2;8,0;-1,6;50,8;12,4;
2022;1;4836;-847;1754;-550;3082;-297;635;-187;2461;60;6,0;-0,9;2,7;-0,8;18,3;-1,7;7,3;-1,6;50,9;8,6;
2022;2;4641;-767;1660;-409;2981;-358;605;-141;2349;-186;5,8;-0,8;2,6;-0,6;17,8;-2,0;7,0;-1,2;50,6;3,7;
2022;3;4624;-830;1736;-303;2888;-527;649;-148;2252;-449;5,9;-0,8;2,9;-0,2;17,4;-2,7;7,5;-1,2;48,7;-0,8;
2022;4;4734;-425;1751;-163;2983;-262;669;-61;2270;-349;5,9;-0,4;2,7;-0,3;17,9;-1,4;7,7;-0,3;48,0;-2,8;
2023;1;4699;-137;1714;-40;2985;-97;639;4;2209;-252;5,6;-0,4;2,6;-0,1;16,7;-1,6;6,2;-1,1;47,0;-3,9;
2023;2;4613;-28;1651;-9;2962;-19;578;-27;2173;-176;5,5;-0,3;2,5;-0,1;16,5;-1,3;5,5;-1,5;47,1;-3,5;
2023;3;4810;186;1775;39;3035;147;684;35;2122;-130;5,7;-0,2;2,7;-0,2;16,7;-0,7;6,5;-1,0;44,1;-4,6;
2023;4;4735;1;1728;-23;3007;24;667;-2;2072;-198;5,6;-0,3;2,6;-0,1;16,5;-1,4;6,3;-1,4;43,8;-4,2;
2024;1;5004;305;1879;165;3125;140;647;8;2125;-84;5,9;0,3;2,8;0,2;16,9;0,2;6,0;-0,2;42,5;-4,5;
2024;2;4823;210;1790;139;3033;71;607;29;2065;-108;5,7;0,2;2,7;0,2;16,3;-0,2;5,7;0,2;42,8;-4,3;
2024;3;5118;308;2039;264;3079;44;781;97;2160;38;6,0;0,3;3,1;0,4;16,5;-0,2;7,3;0,8;42,2;-1,9;
2024;4;5134;399;1990;262;3144;137;722;55;2184;112;6,0;0,4;3,0;0,4;16,8;0,3;6,8;0,5;42,5;-1,2;
2025;1;5312;308;2088;209;3224;99;680;33;2318;193;6,2;0,3;3,1;0,3;17,1;0,2;6,4;0,4;43,6;1,2;
2025;2;5113;290;2009;219;3104;71;638;31;2311;246;6,0;0,3;3,0;0,3;16,4;0,1;6,0;0,3;45,2;2,4;
2025;3;5310;192;2221;182;3089;10;769;-12;2335;175;6,2;0,2;3,3;0,2;16,3;-0,2;7,2;-0,1;44,0;1,8;
2025;4;5106;-28;2158;168;2948;-196;724;2;2316;132;6,0;0,0;3,2;0,2;15,5;-1,3;6,8;0,0;45,4;2,8;
